Oluþturma: Angry IP Scanner 3.9.1
https://angryip.org

Tarandý 37.63.0.0 - 37.63.127.255
2024 Aug 6 17:44:24

IP              Ping            Ana Makine Adý                            Kapýlar              
37.63.27.10     109 ms          [yok]                                     21,22,53,80          
37.63.27.20     109 ms          [yok]                                     53,8080              
37.63.27.19     112 ms          [yok]                                     53                   
37.63.27.17     116 ms          [yok]                                     53                   
37.63.27.9      104 ms          [yok]                                     53                   
37.63.36.3      113 ms          [yok]                                     53                   
37.63.36.1      110 ms          [yok]                                     53                   
37.63.36.4      113 ms          [yok]                                     53                   
37.63.36.2      111 ms          [yok]                                     53                   
37.63.36.13     114 ms          [yok]                                     53                   
37.63.36.30     113 ms          [yok]                                     53                   
37.63.36.21     116 ms          [yok]                                     53                   
37.63.36.14     114 ms          [yok]                                     53                   
37.63.36.12     116 ms          [yok]                                     53                   
37.63.36.11     118 ms          [yok]                                     53                   
37.63.36.20     119 ms          [yok]                                     53                   
37.63.36.23     114 ms          [yok]                                     53                   
37.63.36.29     117 ms          [yok]                                     53                   
37.63.36.28     115 ms          [yok]                                     53                   
37.63.36.35     115 ms          [yok]                                     53                   
37.63.36.45     116 ms          [yok]                                     53                   
37.63.36.37     119 ms          [yok]                                     53                   
37.63.36.34     117 ms          [yok]                                     53                   
37.63.36.52     120 ms          [yok]                                     53                   
37.63.36.10     119 ms          [yok]                                     53                   
37.63.36.16     119 ms          [yok]                                     53                   
37.63.36.41     118 ms          [yok]                                     53                   
37.63.36.59     114 ms          [yok]                                     53                   
37.63.36.44     118 ms          [yok]                                     53                   
37.63.36.43     120 ms          [yok]                                     53                   
37.63.36.54     117 ms          [yok]                                     53                   
37.63.36.8      126 ms          [yok]                                     53                   
37.63.36.75     114 ms          [yok]                                     53                   
37.63.36.83     112 ms          [yok]                                     53                   
37.63.36.57     116 ms          [yok]                                     53                   
37.63.36.9      132 ms          [yok]                                     53                   
37.63.36.63     117 ms          [yok]                                     53                   
37.63.36.53     120 ms          [yok]                                     53                   
37.63.36.73     117 ms          [yok]                                     53                   
37.63.36.60     121 ms          [yok]                                     53                   
37.63.36.56     121 ms          [yok]                                     53                   
37.63.36.50     131 ms          [yok]                                     53                   
37.63.36.84     118 ms          [yok]                                     53                   
37.63.36.100    119 ms          [yok]                                     53                   
37.63.36.120    113 ms          [yok]                                     53                   
37.63.36.67     122 ms          [yok]                                     53                   
37.63.36.169    112 ms          [yok]                                     53                   
37.63.36.171    113 ms          [yok]                                     53                   
37.63.36.71     122 ms          [yok]                                     53                   
37.63.36.149    113 ms          [yok]                                     53                   
37.63.36.62     131 ms          [yok]                                     53                   
37.63.36.102    120 ms          [yok]                                     53                   
37.63.36.181    113 ms          [yok]                                     53                   
37.63.36.72     127 ms          [yok]                                     53                   
37.63.36.132    114 ms          [yok]                                     53                   
37.63.36.70     123 ms          [yok]                                     53                   
37.63.36.127    115 ms          [yok]                                     53                   
37.63.36.108    124 ms          [yok]                                     53                   
37.63.36.96     119 ms          [yok]                                     53                   
37.63.36.86     120 ms          [yok]                                     53                   
37.63.36.206    112 ms          [yok]                                     53                   
37.63.36.211    117 ms          [yok]                                     53                   
37.63.36.140    121 ms          [yok]                                     53                   
37.63.36.90     124 ms          [yok]                                     53                   
37.63.36.158    119 ms          [yok]                                     53                   
37.63.36.42     142 ms          [yok]                                     53                   
37.63.36.24     122 ms          [yok]                                     53                   
37.63.36.147    111 ms          [yok]                                     53                   
37.63.36.87     127 ms          [yok]                                     53                   
37.63.36.93     122 ms          [yok]                                     53                   
37.63.36.219    121 ms          [yok]                                     53                   
37.63.36.174    121 ms          [yok]                                     53                   
37.63.37.51     116 ms          [yok]                                     53                   
37.63.36.217    125 ms          [yok]                                     53                   
37.63.37.1      116 ms          [yok]                                     53                   
37.63.36.239    120 ms          [yok]                                     53                   
37.63.36.135    124 ms          [yok]                                     53                   
37.63.36.244    129 ms          [yok]                                     53                   
37.63.37.94     118 ms          [yok]                                     53                   
37.63.36.118    123 ms          [yok]                                     53                   
37.63.37.101    120 ms          [yok]                                     53                   
37.63.36.7      126 ms          [yok]                                     53                   
37.63.36.19     117 ms          [yok]                                     53                   
37.63.36.214    113 ms          [yok]                                     53                   
37.63.36.208    134 ms          [yok]                                     53                   
37.63.36.228    114 ms          [yok]                                     53                   
37.63.37.142    115 ms          [yok]                                     53                   
37.63.37.116    113 ms          [yok]                                     53                   
37.63.37.117    118 ms          [yok]                                     53                   
37.63.36.197    116 ms          [yok]                                     53                   
37.63.36.159    118 ms          [yok]                                     53                   
37.63.37.143    122 ms          [yok]                                     53                   
37.63.37.7      135 ms          [yok]                                     53                   
37.63.37.158    120 ms          [yok]                                     53                   
37.63.36.110    114 ms          [yok]                                     53                   
37.63.37.66     118 ms          [yok]                                     53                   
37.63.37.39     115 ms          [yok]                                     53                   
37.63.36.252    119 ms          [yok]                                     53                   
37.63.36.104    116 ms          [yok]                                     53                   
37.63.37.91     116 ms          [yok]                                     53                   
37.63.37.129    121 ms          [yok]                                     53                   
37.63.37.246    114 ms          [yok]                                     53                   
37.63.37.9      114 ms          [yok]                                     53                   
37.63.37.81     121 ms          [yok]                                     53                   
37.63.37.11     121 ms          [yok]                                     53                   
37.63.37.148    124 ms          [yok]                                     53                   
37.63.37.192    119 ms          [yok]                                     53                   
37.63.36.68     120 ms          [yok]                                     53                   
37.63.38.1      106 ms          [yok]                                     53                   
37.63.37.138    117 ms          [yok]                                     53                   
37.63.38.64     114 ms          [yok]                                     53                   
37.63.37.28     117 ms          [yok]                                     53                   
37.63.37.123    119 ms          [yok]                                     53                   
37.63.37.239    118 ms          [yok]                                     53                   
